rank,utterance_length,word_count,utterance,speaker,filename,filepath
19,12,3,It might be.,32fe,097_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/32fe/097_aud.txt
20,12,3,Nor only so.,33me,214_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/214_aud.txt
21,12,3,She is free.,34fe,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/34fe/099_aud.txt
22,12,3,But what is?,37fe,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/37fe/112_aud.txt
23,12,3,"No, shut it.",38me,191_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/38me/191_aud.txt
24,12,3,Are we here?,48ms,172_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/172_aud.txt
25,12,3,Could it be?,50ms,143_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/143_aud.txt
26,12,3,It can help.,63me,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/133_aud.txt
27,12,3,What I feel?,64me,212_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/212_aud.txt
28,12,3,That may be.,65ms,182_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/182_aud.txt
29,12,3,I was angry.,80me,126_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/126_aud.txt
30,13,3,We are happy.,06fe,144_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/06fe/144_aud.txt
31,13,3,Life is good.,18fo,151_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/18fo/151_aud.txt
32,13,3,He is driven.,34fe,146_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/34fe/146_aud.txt
33,13,3,Art is extra.,36fs,085_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/36fs/085_aud.txt
34,13,3,As we worked.,51fe,116_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/116_aud.txt
35,13,3,Who are they?,59fe,195_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/59fe/195_aud.txt
36,13,4,I hope we do.,61fs,126_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/126_aud.txt
37,13,3,Take me home!,61fs,216_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/216_aud.txt
38,13,4,So I done it.,65ms,203_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/203_aud.txt
39,13,3,Reply by Top.,74ms,207_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/207_aud.txt
40,13,4,She's a spy !,75fe,122_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/122_aud.txt
41,13,3,We will push.,75fe,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/149_aud.txt
42,13,3,Perhaps I am.,76fe,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/199_aud.txt
43,13,3,This one did.,77ms,161_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/161_aud.txt
44,13,3,He lay still.,79fe,200_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/200_aud.txt
45,13,4,It was a job.,81ms,216_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/216_aud.txt
46,14,4,I am a doctor.,05ms,107_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/05ms/107_aud.txt
47,14,3,"Oh, that's it.",10me,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/10me/183_aud.txt
48,14,4,He is a Satan.,11fe,101_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/11fe/101_aud.txt
49,14,3,It could work.,14fe,091_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/14fe/091_aud.txt
50,14,4,Was it a foul?,15fe,094_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/094_aud.txt
51,14,3,And it showed.,15fe,132_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/132_aud.txt
52,14,3,"Does it, Noel?",15fe,134_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/134_aud.txt
53,14,4,So it was sad.,18fo,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/18fo/119_aud.txt
54,14,4,I get the bus.,22me,127_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/127_aud.txt
55,14,3,How could you?,25fs,230_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/25fs/230_aud.txt
56,14,3,I was rubbish.,31ms,185_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/31ms/185_aud.txt
57,14,3,All the world!,32fe,190_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/32fe/190_aud.txt
58,14,3,"No, you goose.",37fe,188_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/37fe/188_aud.txt
59,14,3,I'm sure glad.,37fe,217_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/37fe/217_aud.txt
60,14,4,It is too bad.,42fe,192_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/192_aud.txt
61,14,3,And that's it?,46fs,091_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/091_aud.txt
62,14,3,An arid dictum,46fs,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/198_aud.txt
63,14,4,I wish to eat.,46fs,210_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/210_aud.txt
64,14,3,He's a genius.,47ms,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/120_aud.txt
65,14,3,No; not quite.,47ms,196_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/196_aud.txt
66,14,3,Jobs could go.,48ms,161_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/161_aud.txt
67,14,3,But what then!,48ms,202_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/202_aud.txt
68,14,3,But I managed.,56me,081_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/081_aud.txt
69,14,3,Will you come?,56me,190_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/56me/190_aud.txt
70,14,4,I want my mum.,59fe,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/59fe/157_aud.txt
71,14,3,"Be done, boys!",61fs,224_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/224_aud.txt
72,14,3,Peace was won.,63me,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/156_aud.txt
73,14,4,We lost a boy.,63me,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/180_aud.txt
74,14,4,I think I see.,64me,218_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/218_aud.txt
75,14,3,I was furious.,70ms,129_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/129_aud.txt
76,14,3,But who cares?,71fi,185_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/185_aud.txt
77,14,3,It's the Tate.,74ms,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/158_aud.txt
78,14,3,They are good.,75fe,169_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/169_aud.txt
79,14,3,Why change it?,79fe,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/157_aud.txt
80,14,3,God bless you!,79fe,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/194_aud.txt
81,14,3,Pour on water!,79fe,218_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/218_aud.txt
82,14,3,Here's a clue.,80me,146_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/146_aud.txt
83,15,3,No other names?,03mn,184_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/184_aud.txt
84,15,3,We never shall.,10me,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/10me/199_aud.txt
85,15,4,But it was fun.,12me,096_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/12me/096_aud.txt
86,15,4,You are a liar.,13fs,169_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/169_aud.txt
87,15,3,We cannot wait.,19fs,229_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/229_aud.txt
88,15,3,He has retired.,20fs,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/20fs/133_aud.txt
89,15,4,We can do both.,24fe,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/24fe/120_aud.txt
90,15,3,The judge said.,26fs,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/158_aud.txt
91,15,4,Our time is up.,28ms,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/28ms/183_aud.txt
92,15,3,"Oh! yes, three.",33me,222_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/222_aud.txt
93,15,4,He did it well.,41me,102_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/41me/102_aud.txt
94,15,3,It's good news.,44fs,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/149_aud.txt
95,15,4,I spoke to her.,44fs,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/180_aud.txt
96,15,3,That was clear.,46fs,189_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/189_aud.txt
97,15,4,I think you do.,46fs,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/199_aud.txt
98,15,3,Does it matter?,49fe,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/180_aud.txt
99,15,4,Is it all real?,50ms,176_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/176_aud.txt
100,15,4,He may need it.,55fs,083_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/083_aud.txt
101,15,3,Does this mean.,57ms,082_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/082_aud.txt
102,15,4,It has to work.,57ms,143_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/143_aud.txt
103,15,5,A win is a win.,58fs,166_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/58fs/166_aud.txt
104,15,3,It's very good.,60ms,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/119_aud.txt
105,15,3,It is annoying.,61fs,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/119_aud.txt
106,15,3,Help is needed.,64me,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/183_aud.txt
107,15,4,Are we not men?,65ms,171_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/171_aud.txt
108,15,3,Which is worse?,65ms,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/65ms/180_aud.txt
109,15,4,I didn't do it.,68fs,121_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/68fs/121_aud.txt
110,15,3,I was dreaming.,69fs,218_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/218_aud.txt
111,15,4,I belong to it.,70ms,203_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/203_aud.txt
112,15,4,I lost my head.,71fi,130_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/130_aud.txt
113,15,4,I saw one body.,73fe,127_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/127_aud.txt
114,15,4,Try to save us.,75fe,093_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/093_aud.txt
115,15,4,I took the gun.,76fe,117_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/117_aud.txt
116,15,4,He's got to go.,77ms,172_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/172_aud.txt
117,15,3,"Yet, it worked.",78ms,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/142_aud.txt
118,15,3,It was Packard.,80me,193_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/193_aud.txt
119,15,3,That's just it.,81ms,208_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/208_aud.txt
120,16,4,But I was wrong.,01fi,115_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/01fi/115_aud.txt
121,16,3,She walked home.,01fi,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/01fi/199_aud.txt
122,16,4,Is the war over?,02fe,117_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/02fe/117_aud.txt
123,16,4,It's a dead end.,03mn,101_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/101_aud.txt
124,16,4,He will be fine.,03mn,103_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/103_aud.txt
125,16,4,I hate the word.,03mn,126_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/126_aud.txt
126,16,3,I nearly forgot.,07me,183_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/07me/183_aud.txt
127,16,4,He has to learn.,11fe,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/11fe/099_aud.txt
128,16,4,I hope he stays.,12me,122_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/12me/122_aud.txt
129,16,4,He has the edge.,13fs,122_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/122_aud.txt
130,16,4,We must move on.,13fs,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/156_aud.txt
131,16,4,Did you eat yet?,14fe,048_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/14fe/048_aud.txt
132,16,3,"Indeed, he does.",15fe,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/140_aud.txt
133,16,4,And it paid off.,17ms,091_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/17ms/091_aud.txt
134,16,4,I said How much?,17ms,152_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/17ms/152_aud.txt
135,16,4,It was good fun.,18fo,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/18fo/133_aud.txt
136,16,3,So Hubert began.,19fs,225_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/225_aud.txt
137,16,3,There's the mix.,20fs,186_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/20fs/186_aud.txt
138,16,5,In a way he was.,22me,128_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/128_aud.txt
139,16,4,So she told him.,24fe,166_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/24fe/166_aud.txt
140,16,4,Do like he says.,25fs,204_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/25fs/204_aud.txt
141,16,3,It's quite nice.,27fs,115_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/115_aud.txt
142,16,4,I knew him well.,27fs,166_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/166_aud.txt
143,16,4,Here we go then.,29me,166_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/29me/166_aud.txt
144,16,4,This is my flat.,29me,205_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/29me/205_aud.txt
145,16,3,As she explains.,30me,173_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/30me/173_aud.txt
146,16,3,Who can predict?,32fe,095_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/32fe/095_aud.txt
147,16,4,You have a plan?,33me,137_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/137_aud.txt
148,16,3,Nothing is safe.,34fe,135_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/34fe/135_aud.txt
149,16,4,I love the Dome.,34fe,155_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/34fe/155_aud.txt
150,16,3,The Plain Talker,35fs,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/35fs/198_aud.txt
151,16,4,So who is right?,36fs,086_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/36fs/086_aud.txt
152,16,4,I enjoy my work.,36fs,184_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/36fs/184_aud.txt
153,16,4,That got me out.,39ms,084_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/39ms/084_aud.txt
154,16,4,He is that good.,39ms,134_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/39ms/134_aud.txt
155,16,4,What will it be?,41me,145_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/41me/145_aud.txt
156,16,4,I had enough on.,42fe,145_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/145_aud.txt
157,16,4,I will miss him.,42fe,152_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/152_aud.txt
158,16,4,I will carry on.,42fe,155_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/155_aud.txt
159,16,4,And he did that.,44fs,174_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/174_aud.txt
160,16,4,I am quite able.,45fe,205_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/45fe/205_aud.txt
161,16,4,I honour my mom.,46fs,049_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/049_aud.txt
162,16,4,We are so proud.,46fs,170_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/170_aud.txt
163,16,4,I know we shall.,46fs,209_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/209_aud.txt
164,16,4,They must do it.,47ms,100_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/100_aud.txt
165,16,4,As it should be.,47ms,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/149_aud.txt
166,16,3,It's a blessing.,48ms,115_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/115_aud.txt
167,16,4,How do you feel?,48ms,120_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/48ms/120_aud.txt
168,16,4,I'm glad I came.,49fe,116_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/116_aud.txt
169,16,4,He is a one-off.,52fs,094_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/094_aud.txt
170,16,3,Is he conscious?,52fs,103_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/103_aud.txt
171,16,4,That is her job.,52fs,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/133_aud.txt
172,16,3,"Fine work, boys!",52fs,191_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/191_aud.txt
173,16,4,I can't find it.,52fs,219_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/52fs/219_aud.txt
174,16,4,I had no choice.,54mn,165_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/165_aud.txt
175,16,4,And he still is.,55fs,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/180_aud.txt
176,16,4,It is their day.,57ms,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/57ms/106_aud.txt
177,16,4,But they add up.,61fs,164_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/164_aud.txt
178,16,4,I want a career.,62me,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/156_aud.txt
179,16,4,Let's get it on.,62me,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/158_aud.txt
180,16,4,It was a deceit.,62me,173_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/173_aud.txt
181,16,4,He had a horror.,64me,104_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/104_aud.txt
182,16,3,That would help.,64me,154_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/154_aud.txt
183,16,4,It was no avail.,66fs,158_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/158_aud.txt
184,16,3,"Yes, sweet lady.",66fs,203_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/203_aud.txt
185,16,4,It is a fantasy.,67fe,089_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/089_aud.txt
186,16,3,"Come back, Ivan!",67fe,197_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/67fe/197_aud.txt
187,16,4,Do you know him?,69fs,228_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/228_aud.txt
188,16,4,I won't go back.,70ms,162_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/162_aud.txt
189,16,4,We had to laugh.,71fi,105_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/105_aud.txt
190,16,4,One is too many.,71fi,107_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/107_aud.txt
191,16,4,He is to appeal.,71fi,139_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/139_aud.txt
192,16,3,Is that Titanic?,72fe,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/125_aud.txt
193,16,5,It is a step up.,73fe,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/149_aud.txt
194,16,3,Who will attend?,75fe,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/142_aud.txt
195,16,3,It was hopeless.,76fe,086_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/086_aud.txt
196,16,4,I've had a ball.,76fe,090_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/090_aud.txt
197,16,5,It is up to Ann.,77ms,133_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/133_aud.txt
198,16,4,The game was up.,77ms,160_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/160_aud.txt
199,16,4,It is a dilemma.,78ms,164_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/164_aud.txt
200,16,3,The door opened.,81ms,210_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/210_aud.txt
201,17,4,He could make it.,01fi,092_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/01fi/092_aud.txt
202,17,3,It is home-grown.,03mn,137_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/137_aud.txt
203,17,4,What is going on?,05ms,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/05ms/156_aud.txt
204,17,4,You will need it.,07me,132_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/07me/132_aud.txt
205,17,4,Or so he thought.,08me,130_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/08me/130_aud.txt
206,17,5,Do it for us now.,11fe,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/11fe/125_aud.txt
207,17,4,"Oh dear, oh dear!",13fs,230_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/230_aud.txt
208,17,4,"Not now, not yet.",13fs,235_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/235_aud.txt
209,17,3,Saturday is gone.,14fe,098_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/14fe/098_aud.txt
210,17,4,I am enjoying it.,14fe,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/14fe/156_aud.txt
211,17,4,Subtle it is not.,15fe,103_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/103_aud.txt
212,17,5,I am a lucky man.,15fe,174_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/174_aud.txt
213,17,4,"No, it cannot be!",15fe,207_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/15fe/207_aud.txt
214,17,3,"Maybe, who knows?",19fs,138_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/138_aud.txt
215,17,3,I cannot imagine.,19fs,230_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/230_aud.txt
216,17,4,One was a lawyer.,20fs,108_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/20fs/108_aud.txt
217,17,4,I've had my time.,20fs,132_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/20fs/132_aud.txt
218,17,4,This is the band.,20fs,179_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/20fs/179_aud.txt
219,17,3,And they replied.,21me,109_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/21me/109_aud.txt
220,17,4,It all came good.,22me,143_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/143_aud.txt
221,17,4,It can be halted.,22me,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/156_aud.txt
222,17,4,I am a socialist.,24fe,142_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/24fe/142_aud.txt
223,17,4,He takes the job.,24fe,145_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/24fe/145_aud.txt
224,17,4,One is my wealth!,25fs,210_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/25fs/210_aud.txt
225,17,4,It won the match.,26fs,178_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/178_aud.txt
226,17,5,I am ready to go.,27fs,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/140_aud.txt
227,17,4,I joined a group.,27fs,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/149_aud.txt
228,17,4,Will you hear me?,27fs,210_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/210_aud.txt
229,17,4,Is it the flight?,29me,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/29me/140_aud.txt
